Order No,Order Type,Entry Type,Order Date,Config ID,Is MTO,Createts,Draft Order Flag
341440815247,PHONEORDER,CCA,2024-05-23 13:40:12,9262562-V1-OB-3869924,null,2024-05-23 13:40:13,Y
341440861852,PHONEORDER,CCA,2024-05-23 13:57:17,9902700-V1-UD-OB-34,null,2024-05-23 13:57:17,Y
341440888301,PAPERORDER,CCA,2024-05-23 09:52:05,4693527-V1-CP-PV-2375-ST,null,2024-05-23 09:52:06,Y
341440902672,PHONEORDER,CCA,2024-05-23 07:01:48,1336180-V1-CP-30-3846633,null,2024-05-23 07:01:50,Y
341440902672,PHONEORDER,CCA,2024-05-23 07:01:48,441276-V1-CP-33-6402095,null,2024-05-23 07:01:50,Y
341440902672,PHONEORDER,CCA,2024-05-23 07:01:48,7637801-V1-CP-36,null,2024-05-23 07:01:50,Y
341440902672,PHONEORDER,CCA,2024-05-23 07:01:48,8933295-V1-PN-8066786,null,2024-05-23 07:01:50,Y
341440934774,PAPERORDER,CCA,2024-05-23 15:56:43,2403585-V1-CP-36-8077494,null,2024-05-23 15:56:43,Y
341442342901,PHONEORDER,CCA,2024-05-23 16:27:49,6525917-V1-OB-54-6914192,Y,2024-05-23 16:29:05,Y
341443747314,PHONEORDER,CCA,2024-05-23 07:55:26,2216624-V1-BN-PP,Y,2024-05-23 07:55:58,Y
341443747314,PHONEORDER,CCA,2024-05-23 07:55:26,2216624-V1-BN-PS,Y,2024-05-23 07:55:58,Y
341443930282,PHONEORDER,CCA,2024-05-23 08:03:22,2216624-V1-BN-PP,Y,2024-05-23 08:03:56,Y
341443930282,PHONEORDER,CCA,2024-05-23 08:03:22,2216624-V1-BN-PS,Y,2024-05-23 08:03:56,Y
341450169527,PHONEORDER,CCA,2024-05-24 11:11:43,9427559-V1-45-8446385,null,2024-05-24 11:11:44,Y
341450435084,PHONEORDER,CCA,2024-05-24 11:41:56,129712-V1-18-2237148,null,2024-05-24 11:41:56,Y
341450522485,PHONEORDER,CCA,2024-05-24 14:58:33,1941908-V1-OL-144382,null,2024-05-24 14:58:33,Y
341450586092,PHONEORDER,CCA,2024-05-24 11:29:13,129712-V1-18-2237148,null,2024-05-24 11:29:13,Y
341450623077,PHONEORDER,CCA,2024-05-24 09:55:53,6525917-V1-OB-54-6914192,null,2024-05-24 09:55:55,Y
341456622891,PHONEORDER_G_CA,CCA,2024-05-24 07:38:24,5531591-V1-BD-7101013,Y,2024-05-24 07:39:23,Y
